Top 50 Pathways (Reconstruction) by Mean Attention,Top 50 Pathways (Classification) by Mean Attention,Top 50 Pathways (Reconstruction) by Residual,Top 50 Pathways (Classification) by Residual,Top 50 Pathways (Reconstruction) by Residual / Global Std,Top 50 Pathways (Classification) by Residual / Global Std
Drug metabolism - cytochrome P450,Drug metabolism - cytochrome P450,Drug metabolism - cytochrome P450,Drug metabolism - cytochrome P450,Hepatitis C,D-Amino acid metabolism
beta-Alanine metabolism,Basal cell carcinoma,beta-Alanine metabolism,Basal cell carcinoma,Mucin type O-glycan biosynthesis,Drug metabolism - cytochrome P450
Hedgehog signaling pathway,ECM-receptor interaction,Hedgehog signaling pathway,ECM-receptor interaction,T cell receptor signaling pathway,Staphylococcus aureus infection
Retinol metabolism,Primary bile acid biosynthesis,Hepatitis C,Primary bile acid biosynthesis,Hedgehog signaling pathway,Vitamin B6 metabolism
Nitrogen metabolism,Regulation of lipolysis in adipocytes,Retinol metabolism,Regulation of lipolysis in adipocytes,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy
Mucin type O-glycan biosynthesis,Arrhythmogenic right ventricular cardiomyopathy,Mucin type O-glycan biosynthesis,Arrhythmogenic right ventricular cardiomyopathy,Nitrogen metabolism,Basal cell carcinoma
Hepatitis C,Hypertrophic cardiomyopathy,Nitrogen metabolism,Hypertrophic cardiomyopathy,Epstein-Barr virus infection,Asthma
Glycosphingolipid biosynthesis - lacto and neolacto series,Propanoate metabolism,Oxidative phosphorylation,Propanoate metabolism,Alzheimer disease,Fat digestion and absorption
Bile secretion,Rheumatoid arthritis,Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism of xenobiotics by cytochrome P450,Lipoic acid metabolism,ECM-receptor interaction
Oxidative phosphorylation,Vitamin B6 metabolism,Adrenergic signaling in cardiomyocytes,Fatty acid degradation,Citrate cycle (TCA cycle),Nitrogen metabolism
Lipoic acid metabolism,Fatty acid degradation,Endocrine and other factor-regulated calcium reabsorption,Vitamin B6 metabolism,Amoebiasis,Regulation of lipolysis in adipocytes
Endocrine and other factor-regulated calcium reabsorption,Metabolism of xenobiotics by cytochrome P450,Bile secretion,Rheumatoid arthritis,Cobalamin transport and metabolism,Biotin metabolism
Caffeine metabolism,D-Amino acid metabolism,Longevity regulating pathway,D-Amino acid metabolism,Wnt signaling pathway,Olfactory transduction
Aldosterone-regulated sodium reabsorption,Staphylococcus aureus infection,Basal cell carcinoma,Hedgehog signaling pathway,Retinol metabolism,Primary bile acid biosynthesis
Taurine and hypotaurine metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series,Caffeine metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series,Taurine and hypotaurine metabolism,Hypertrophic cardiomyopathy
Basal cell carcinoma,Bile secretion,Alzheimer disease,Staphylococcus aureus infection,Drug metabolism - cytochrome P450,Bile secretion
"Valine, leucine and isoleucine degradation",Hedgehog signaling pathway,Glycerophospholipid metabolism,Bile secretion,Aldosterone-regulated sodium reabsorption,Hippo signaling pathway - multiple species
Homologous recombination,Caffeine metabolism,"Valine, leucine and isoleucine degradation",Caffeine metabolism,Progesterone-mediated oocyte maturation,Propanoate metabolism
Cobalamin transport and metabolism,Nitrogen metabolism,Lipoic acid metabolism,Nitrogen metabolism,Diabetic cardiomyopathy,Hedgehog signaling pathway
Chemical carcinogenesis - DNA adducts,Fat digestion and absorption,Aldosterone-regulated sodium reabsorption,Retinol metabolism,Caffeine metabolism,Metabolism of xenobiotics by cytochrome P450
Sulfur metabolism,Retinol metabolism,T cell receptor signaling pathway,Chemical carcinogenesis - DNA adducts,Oxidative phosphorylation,Glycosphingolipid biosynthesis - lacto and neolacto series
Nicotinate and nicotinamide metabolism,Chemical carcinogenesis - DNA adducts,Autophagy - animal,Fat digestion and absorption,beta-Alanine metabolism,Caffeine metabolism
Glycosphingolipid biosynthesis - ganglio series,beta-Alanine metabolism,Cell cycle,"Valine, leucine and isoleucine degradation",Sulfur metabolism,Cytokine-cytokine receptor interaction
ECM-receptor interaction,"Valine, leucine and isoleucine degradation",Cytokine-cytokine receptor interaction,beta-Alanine metabolism,Glutamatergic synapse,Fatty acid degradation
Citrate cycle (TCA cycle),Starch and sucrose metabolism,Melanogenesis,Fatty acid elongation,Melanogenesis,Chemical carcinogenesis - DNA adducts
Longevity regulating pathway,Fatty acid elongation,Nicotinate and nicotinamide metabolism,Starch and sucrose metabolism,Glycerophospholipid metabolism,Rheumatoid arthritis
Viral protein interaction with cytokine and cytokine receptor,Hippo signaling pathway - multiple species,Chemical carcinogenesis - DNA adducts,Hippo signaling pathway - multiple species,Human T-cell leukemia virus 1 infection,Starch and sucrose metabolism
Glycerophospholipid metabolism,Endocrine and other factor-regulated calcium reabsorption,Taurine and hypotaurine metabolism,Endocrine and other factor-regulated calcium reabsorption,PD-L1 expression and PD-1 checkpoint pathway in cancer,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Arginine biosynthesis,Olfactory transduction,ECM-receptor interaction,Olfactory transduction,Biotin metabolism,Taurine and hypotaurine metabolism
Cell cycle,Ovarian steroidogenesis,Cobalamin transport and metabolism,Ovarian steroidogenesis,Phosphatidylinositol signaling system,Aldosterone-regulated sodium reabsorption
Adrenergic signaling in cardiomyocytes,Aldosterone-regulated sodium reabsorption,Citrate cycle (TCA cycle),Aldosterone-regulated sodium reabsorption,Glycosphingolipid biosynthesis - ganglio series,Neuroactive ligand-receptor interaction
Arrhythmogenic right ventricular cardiomyopathy,Complement and coagulation cascades,Epstein-Barr virus infection,TGF-beta signaling pathway,Longevity regulating pathway,Endocrine and other factor-regulated calcium reabsorption
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Taurine and hypotaurine metabolism,Wnt signaling pathway,Complement and coagulation cascades,Endocrine and other factor-regulated calcium reabsorption,Galactose metabolism
Biotin metabolism,Biotin metabolism,Viral protein interaction with cytokine and cytokine receptor,Neuroactive ligand-receptor interaction,Glycosphingolipid biosynthesis - lacto and neolacto series,Retinol metabolism
Vitamin B6 metabolism,Thiamine metabolism,Homologous recombination,Taurine and hypotaurine metabolism,Nicotinate and nicotinamide metabolism,"Valine, leucine and isoleucine degradation"
Pantothenate and CoA biosynthesis,Linoleic acid metabolism,Progesterone-mediated oocyte maturation,Biotin metabolism,Cell cycle,Folate biosynthesis
Cytokine-cytokine receptor interaction,Galactose metabolism,Glutamatergic synapse,Arachidonic acid metabolism,Fc epsilon RI signaling pathway,Thiamine metabolism
Herpes simplex virus 1 infection,Neuroactive ligand-receptor interaction,Phosphatidylinositol signaling system,Endocytosis,Cytokine-cytokine receptor interaction,Linoleic acid metabolism
Autophagy - other,Nicotinate and nicotinamide metabolism,Sulfur metabolism,Nicotinate and nicotinamide metabolism,Basal cell carcinoma,Nicotinate and nicotinamide metabolism
Mineral absorption,TGF-beta signaling pathway,Glycosphingolipid biosynthesis - ganglio series,Thiamine metabolism,IL-17 signaling pathway,beta-Alanine metabolism
Melanogenesis,Arachidonic acid metabolism,Biotin metabolism,Galactose metabolism,Homologous recombination,Viral protein interaction with cytokine and cytokine receptor
T cell receptor signaling pathway,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Amoebiasis,Linoleic acid metabolism,Autophagy - animal,Complement and coagulation cascades
Olfactory transduction,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,IL-17 signaling pathway,Longevity regulating pathway,ECM-receptor interaction,Ovarian steroidogenesis
Histidine metabolism,Folate biosynthesis,Mitophagy - animal,Salivary secretion,Bile secretion,Fatty acid elongation
Amoebiasis,Endocytosis,Vitamin B6 metabolism,Calcium signaling pathway,Th17 cell differentiation,Ubiquinone and other terpenoid-quinone biosynthesis
Ether lipid metabolism,Salivary secretion,Calcium signaling pathway,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,"Valine, leucine and isoleucine degradation",alpha-Linolenic acid metabolism
Ovarian steroidogenesis,Ubiquinone and other terpenoid-quinone biosynthesis,Ether lipid metabolism,Folate biosynthesis,Viral protein interaction with cytokine and cytokine receptor,Renin secretion
Primary bile acid biosynthesis,alpha-Linolenic acid metabolism,Long-term depression,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Pathways of neurodegeneration - multiple diseases,Mitophagy - animal
Alzheimer disease,Phagosome,Diabetic cardiomyopathy,Cell cycle,Human papillomavirus infection,Endocytosis
Fatty acid biosynthesis,Longevity regulating pathway,Human T-cell leukemia virus 1 infection,Ubiquinone and other terpenoid-quinone biosynthesis,Ether lipid metabolism,Salivary secretion
